,City,District,School,Marks
0,i̇stanbul,esenler,125 yıl ortaokulu,boş
1,i̇stanbul,esenler,akşemsettin anadolu i̇mam hatip lisesi,boş
2,i̇stanbul,esenler,amiral vehbi ziya dümer anadolu lisesi,57
3,i̇stanbul,esenler,ayvalıdere ortaokulu,107
4,i̇stanbul,esenler,dr i̇lhami faydagör ortaokulu,86
5,i̇stanbul,esenler,esenler menderes anadolu lisesi,boş
6,i̇stanbul,esenler,esenler tuna mesleki ve teknik anadolu lisesi,boş
7,i̇stanbul,esenler,hasip dinçsoy i̇lkokulu,boş
8,i̇stanbul,esenler,i̇brahim turhan anadolu lisesi,88
9,i̇stanbul,esenler,i̇brahim turhan mesleki ve teknik anadolu lisesi,boş
10,i̇stanbul,esenler,mehmet akif ersoy i̇lkokulu,boş
11,i̇stanbul,esenler,menderes ortaokulu,boş
12,i̇stanbul,esenler,nene hatun i̇lkokulu,boş
13,i̇stanbul,esenler,öz-de-bir ortaokulu,101
14,i̇stanbul,esenler,şehit hüseyin kısa ortaokulu,145
15,i̇stanbul,esenler,şehit muhammed aksu kız anadolu i̇mam hatip lisesi,boş
16,i̇stanbul,esenler,şehit sait ertürk ortaokulu,boş
17,i̇stanbul,esenler,türk – i̇sveç kardeşlik ortaokulu,boş
